DistrictType,SchoolType,DistrictNumber,DistrictName,SchoolNumber,SchoolName,SchoolAddress,SchoolCity,SchoolState,SchoolZip,District No.,District Name,School No.,School Name,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta
Public School District,Secondary 9-12,4003,Scotland 04-3,1,Scotland High School - 01,711 4th St,Scotland,SD,57059,4003.0,Scotland 04-3                 ,1.0,Scotland High School                    ,14.0,23.0,22.0,31.0,0.6363636363636364,0.7419354838709677
Public School District,Secondary 9-12,62005,Selby Area 62-5,1,Selby High School - 01,108 E Dakota St,Selby,SD,57472-0324,62005.0,Selby  Area 62-5              ,1.0,Selby Hi Sch                            ,12.0,18.0,19.0,19.0,0.631578947368421,0.9473684210526315
Public School District,Special Education,49005,Sioux Falls 49-5,41,Community Campus - 41,2101 W 41st St Ste 47,Sioux Falls,SD,57105,49005.0,Sioux Falls 49-5              ,41.0,Community Campus                        ,0.0,30.0,0.0,42.0,,0.7142857142857143
Public School District,Secondary 9-12,49005,Sioux Falls 49-5,37,CTE - 37,4700 W Career Cir,Sioux Falls,SD,57107,49005.0,Sioux Falls 49-5              ,37.0,Career and Technical Education Academy  ,0.0,3.0,0.0,1.0,,3.0
Public School District,Special Education,49005,Sioux Falls 49-5,45,Flex - 45,201 N West Ave,Sioux Falls,SD,57104,49005.0,Sioux Falls 49-5              ,45.0,FLEX                                    ,4.0,2.0,3.0,4.0,1.3333333333333333,0.5
Public School District,Secondary 9-12,49005,Sioux Falls 49-5,2,Lincoln High School - 02,2900 S Cliff Ave,Sioux Falls,SD,57105-5125,49005.0,Sioux Falls 49-5              ,2.0,Lincoln High School                     ,527.0,381.0,436.0,391.0,1.2087155963302751,0.9744245524296675
Public School District,Secondary 9-12,49005,Sioux Falls 49-5,30,New Technology High School - 30,2205 N Career Ave,Sioux Falls,SD,57107,49005.0,Sioux Falls 49-5              ,30.0,New Technology High School              ,97.0,66.0,71.0,69.0,1.3661971830985915,0.9565217391304348
Public School District,Secondary 9-12,49005,Sioux Falls 49-5,3,Roosevelt High School - 03,6600 W 41st St,Sioux Falls,SD,57106-1287,49005.0,Sioux Falls 49-5              ,3.0,Roosevelt High School                   ,506.0,492.0,532.0,498.0,0.9511278195488722,0.9879518072289156
Public School District,Special Education,49005,Sioux Falls 49-5,12,Structured Teaching - 12,201 N West Ave,Sioux Falls,SD,57104,49005.0,Sioux Falls 49-5              ,12.0,Structured Teaching Program             ,2.0,0.0,2.0,3.0,1.0,0.0
Public School District,Special Education,49005,Sioux Falls 49-5,39,Success Academy - 39,201 N West Ave,Sioux Falls,SD,57104,49005.0,Sioux Falls 49-5              ,39.0,Success Academy                         ,2.0,1.0,2.0,1.0,1.0,1.0
